












2022-09-21 00:38:00,setStopLoss,{'price': 0}
2022-09-21 00:38:03,clear,{}
2022-09-21 00:38:35,enterPos,{'position': 'short'}
2022-09-21 00:38:52,enterPos,{'position': 'long'}
2022-09-21 00:38:54,enterPos,{'position': 'short'}
2022-09-21 00:38:56,enterPos,{'position': 'long'}
2022-09-21 00:40:02,enterPos,{'position': 'short'}
2022-09-21 00:41:37,enterPos,{'position': 'short'}
2022-09-21 00:42:31,enterPos,{'position': 'short'}
2022-09-21 00:42:32,enterPos,{'position': 'long'}
2022-09-21 00:42:33,enterPos,{'position': 'short'}
2022-09-21 00:42:34,enterPos,{'position': 'long'}
2022-09-21 00:43:10,enterPos,{'position': 'short'}
2022-09-21 00:43:14,enterPos,{'position': 'long'}
2022-09-21 00:43:18,enterPos,{'position': 'short'}
2022-09-21 00:43:22,enterPos,{'position': 'long'}
2022-09-22 00:13:49,enterPos,{'position': 'short'}
2022-09-22 00:13:55,enterPos,{'position': 'long'}
2022-09-22 00:14:06,enterPos,{'position': 'short'}
2022-09-22 00:14:17,enterPos,{'position': 'long'}
2022-09-22 00:14:28,enterPos,{'position': 'short'}
2022-09-22 00:14:31,enterPos,{'position': 'long'}
2022-09-22 00:14:36,enterPos,{'position': 'short'}
2022-09-22 00:14:42,enterPos,{'position': 'long'}
2022-09-22 00:15:22,clear,{}
2022-09-22 00:15:53,enterPos,{'position': 'long'}
2022-09-22 00:15:55,clear,{}
2022-09-22 00:15:56,clear,{}
2022-09-22 00:21:07,enterPos,{'position': 'long'}
2022-09-22 00:21:09,clear,{}
2022-09-22 00:21:10,clear,{}
2022-09-22 00:21:11,setStopLoss,{'price': 0}
2022-09-22 00:21:39,enterPos,{'position': 'long'}
2022-09-22 00:21:41,clear,{}
2022-09-22 00:21:42,clear,{}
2022-09-22 00:21:43,setStopLoss,{'price': 0}
2022-09-22 00:21:46,enterPos,{'position': 'long'}
2022-09-22 00:21:49,clear,{}
2022-09-22 00:21:50,clear,{}
2022-09-22 00:21:51,setStopLoss,{'price': 0}
2022-09-22 00:24:23,enterPos,{'position': 'long'}
2022-09-22 00:24:59,clear,{}
2022-09-22 00:25:09,clear,{}
2022-09-22 00:25:19,enterPos,{'position': 'long'}
2022-09-22 00:25:27,clear,{}
2022-09-22 00:25:37,enterPos,{'position': 'long'}
2022-09-22 00:26:16,enterPos,{'position': 'short'}
2022-09-22 00:26:27,clear,{}
2022-09-25 22:34:57,enterPos,{'position': 'long'}
2022-09-25 22:34:58,setStopLoss,{'price': 0}
2022-09-25 22:34:59,setStopLoss,{'price': 1}
2022-09-25 22:35:00,setStopLoss,{'price': 23}
2022-09-25 22:36:13,enterPos,{'position': 'long'}
2022-09-25 22:36:14,setStopLoss,{'price': 0}
2022-09-25 22:38:09,enterPos,{'position': 'long'}
2022-09-25 22:38:11,setStopLoss,{'price': 0}
2022-09-25 22:38:13,setStopLoss,{'price': 1}
2022-09-25 22:38:16,setStopLoss,{'price': 23}
2022-09-25 22:38:18,setStopLoss,{'price': 23}
2022-09-25 22:38:33,enterPos,{'position': 'long'}
2022-09-25 22:39:01,enterPos,{'position': 'long'}
2022-09-25 22:56:41,enterPos,{'position': 'long'}
2022-09-25 22:56:51,enterPos,{'position': 'long'}
2022-09-25 22:57:47,enterPos,{'position': 'long'}
2022-09-25 22:59:10,enterPos,{'position': 'long'}
2022-09-25 23:00:47,enterPos,{'position': 'long'}
2022-09-25 23:08:32,enterPos,{'position': 'long'}
2022-09-25 23:09:07,enterPos,{'position': 'long'}
2022-09-25 23:10:57,enterPos,{'position': 'long'}
2022-09-25 23:11:02,enterPos,{'position': 'long'}
2022-09-25 23:11:20,enterPos,{'position': 'long'}
2022-10-03 03:57:28,enterPos,"{'position': 'long', 'raverage': '35', 'price': '19855'}"
2022-10-03 03:57:59,enterPos,"{'position': 'long', 'raverage': '35', 'price': '19855'}"
2022-10-03 03:58:10,enterPos,"{'position': 'long', 'raverage': '35', 'price': '19855'}"
2022-10-03 03:58:39,enterPos,"{'position': 'long', 'raverage': '35', 'price': '19855'}"
2022-10-03 03:59:07,enterPos,"{'position': 'long', 'raverage': '35', 'price': '19855'}"
